Dispositif,Type de structure,Année d'agrément,Type,Désignation,Sigle,Activité,Localisation,Début d'agrément,Fin d'agrément,Numéro SIREN,Base SIRENE : Catégorie de l'établissement siège,Base SIRENE : Code APE de l'établissement siège,Base SIRENE : Activité principale exercée (APE) par l'établissement siège,Code postal,Ville,Téléphone,Lien vers la fiche scanR,Commune,Unité urbaine,Département,Académie,Région,Pays,Code commune (France),Code de l'unité urbaine (France),Code du département (France),Code de l'académie (France),Code de la région (France),Code ISO du Pays,Géolocalisation,type
CII,Organismes privés agréés,"2013,2014,2015",Organisme,INGENIERIE POUR SIGNAUX ET SYSTEMES,IPSIS,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Cesson-Sévigné,2013,2015,339744849,ETI,6201Z,Programmation informatique,35510,CESSON SEVIGNE,,,Cesson-Sévigné,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35051,UU35701,D035,A14,R53,FR,"48.1202268032, -1.59714447272",OPA
CII,Organismes privés agréés,"2014,2015,2016",Organisme,SAS ALSTEF MOBILE ROBOTICS,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Mordelles,2014,2016,310727961,PME,2822Z,Fabrication de matériel de levage et de manutention,35310,MORDELLES,,,Mordelles,Mordelles,Ille-et-Vilaine,Rennes,Bretagne,France,35196,UU35216,D035,A14,R53,FR,"48.0857602983, -1.84210731238",OPA
CII,Organismes privés agréés,"2014,2015,2016",Organisme,EDIXIA AUTOMATION,,Electronique,Bretagne>Rennes>Ille-et-Vilaine>Vern-sur-Seiche,2014,2016,753630235,PME,7112B,"Ingénierie, études techniques",35770,VERN SUR SEICHE,,,Vern-sur-Seiche,Vern-sur-Seiche,Ille-et-Vilaine,Rennes,Bretagne,France,35352,UU35219,D035,A14,R53,FR,"48.0525245014, -1.60521106164",OPA
CII,Organismes privés agréés,"2018,2019",Organisme,NOVOLINKO,NOVOLINKO,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Cesson-Sévigné,2018,2019,838910503,,,,35510,CESSON SEVIGNE,,,Cesson-Sévigné,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35051,UU35701,D035,A14,R53,FR,"48.1202268032, -1.59714447272",OPA
CII,Organismes privés agréés,"2019,2020,2021,2022,2023",Organisme,OXXEO CONSULTING,,Automatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Cesson-Sévigné,2019,2023,831438981,Non renseignée,6202A,Conseil en systèmes et logiciels informatiques,35510,CESSON SEVIGNE,,,Cesson-Sévigné,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35051,UU35701,D035,A14,R53,FR,"48.1202268032, -1.59714447272",OPA
CII,Organismes privés agréés,"2020,2021,2022,2023,2024",Organisme,CENTRE CULINAIRE CONTEMPORAIN,CCC,Sciences Agronomiques et alimentaires,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2020,2024,840528855,,,,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2021,2022,2023,2024,2025",Organisme,THE LITTLE GREYS INVEST,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2021,2025,889746640,,,,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2022,2023,2024,2025,2026",Organisme,TILOG CONSULTING,TILOG,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Pacé,2022,2026,530127505,PME,6202A,Conseil en systèmes et logiciels informatiques,35740,PACE,,,Pacé,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35210,UU35701,D035,A14,R53,FR,"48.152548244, -1.77716643787",OPA
CII,Organismes privés agréés,"2024,2025,2026",Organisme,DAVIDSON OUEST,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2024,2026,493128128,,,,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2024,2025,2026",Organisme,KERMAP,SAS,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Cesson-Sévigné,2024,2026,832361471,,,,35510,CESSON SEVIGNE,,,Cesson-Sévigné,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35051,UU35701,D035,A14,R53,FR,"48.1202268032, -1.59714447272",OPA
CII,Organismes privés agréés,"2024,2025,2026",Organisme,O2M LAB,,"Océan, Atmosphère, Terre, Environnement naturel",Bretagne>Rennes>Ille-et-Vilaine>Rennes,2024,2026,893173831,,,,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2025,2026,2027",Organisme,PLANEXUS,,Télécommunications,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Cesson-Sévigné,2025,2027,922304589,,,,35510,CESSON SEVIGNE,,,Cesson-Sévigné,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35051,UU35701,D035,A14,R53,FR,"48.1202268032, -1.59714447272",OPA
CII,Organismes privés agréés,"2015,2016,2017",Organisme,INSTITUT MAUPERTUIS,IM,Génie électronique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Bruz,2015,2017,451864383,PME,7219Z,Recherche-développement : autres sciences physiques et naturelles,35170,BRUZ,,,Bruz,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35047,UU35701,D035,A14,R53,FR,"48.0261755313, -1.74817480915",OPA
CII,Organismes privés agréés,"2016,2017,2018",Organisme,HAPPY BLUE FISH STUDIO,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2016,2018,513738674,PME,7010Z,Activités des sièges sociaux,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2017,2018,2019,2020,2021",Organisme,NEEDONE,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2017,2021,817839699,,,,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2018,2019,2020,2021,2022",Organisme,BENJAMIN RORET,,Tous champs d'activités (hors Textile-habillment-cuir).,Bretagne>Rennes>Ille-et-Vilaine>Rennes,2018,2022,815246046,PME,7410Z,Activités spécialisées de design,35000,RENNES,,,Rennes,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35238,UU35701,D035,A14,R53,FR,"48.1119791219, -1.68186449144",OPA
CII,Organismes privés agréés,"2019,2020,2021,2022,2023",Organisme,WITTY,,Informatique,Bretagne>Rennes>Ille-et-Vilaine>Rennes>Cesson-Sévigné,2019,2023,821825106,PME,6201Z,Programmation informatique,35510,CESSON SEVIGNE,,,Cesson-Sévigné,Rennes,Ille-et-Vilaine,Rennes,Bretagne,France,35051,UU35701,D035,A14,R53,FR,"48.1202268032, -1.59714447272",OPA
