Identifiant,URL,Titre,Description,Description longue,Détail des conditions,Mots clés,Dernière mise à jour,Résumé horaires,Première date - Début,Première date - Fin,Dernière date - Début,Dernière date - Fin,Code d'accessibilité,Accessibilité,Identifiant du lieu,Coordonnées géographiques,Nom du lieu,Adresse,Arrondissement,Code INSEE,Code postal,Ville,Région,Département,Pays,Site web du lieu,Liens du lieu,Tags du lieu,Description du lieu,Accès / Itinéraire,Lien d'accès en ligne,Age minimum,Age maximum,Agenda d'origine (titre),Agenda d'origine (uid),Catégorie,Nom du pays
98187733,https://openagenda.com/jep/events/visite-de-lancien-college-sainte-therese-7070644,Visite de l'ancien collège Sainte Thérèse,Découvrez l'ancien collège Sainte Thérèse.,"Découvrez l'ancien collège Sainte Thérèse.<br>Les Jardins d'Arcadie ont redonné vie à ce bâtiment remarquable.<br>Réhabilité en Résidence Services Seniors, l'ancien collège est devenu un cadre de vie chaleureux, convivial et sécurisant pour nos seniors.<br>Venez visiter et redécouvrir ce lieu chargé d'histoire !",,,2025-07-11T20:27:00+02:00,"Samedi 20 septembre, 10h00",2025-09-20T10:00:00+02:00,2025-09-20T17:00:00+02:00,2025-09-20T10:00:00+02:00,2025-09-20T17:00:00+02:00,mi,handicap moteur,85222992,"48.094878, -1.666916",Ancien collège Sainte Thérèse / Résidence seniors Les Jardins d'Arcadie,"27, rue Sully Prudhomme, 35000 Rennes",Sud-Gare,35238,35200,Rennes,Bretagne,Ille-et-Vilaine,FR,https://jardins-arcadie.fr/residence/residence-seniors-rennes-sainte-therese,,Tourisme et handicap;Villes et Pays d'art et d'histoire;Édifice religieux;Monument historique;Urbanisme et espaces aménagés,"Ancien collège Sainte-Thérèse, désigné comme un élément du patrimoine du XXème siècle. La résidence seniors bénéficie d’une extension conçue dans un esprit résolument contemporain et d’un environnement paysager autour de tous les bâtiments.","Arrêts de Bus : Leray (750m) et Binquenais Collège (750m)
Gare SNCF de Rennes : accessible en 3mn en voiture et en 16mn en bus (arrêt Leray)",,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
18753925,https://openagenda.com/jep/events/concert-melancholia-francois-audrain,Concert – Melancholia – François Audrain,"Né d’une résidence de création sur le site des fours à chaux de Lormandière à Chartres-de-Bretagne, avec le soutien du Département d’Ille-et-Vilaine et des Tombées de la Nuit, l’album Melancholia est…","Né d’une résidence de création sur le site des fours à chaux de Lormandière à Chartres-de-Bretagne, avec le soutien du Département d’Ille-et-Vilaine et des Tombées de la Nuit, l’album Melancholia est un hommage vibrant aux sites et aux histoires ouvrières qui habitent encore ces bâtiments et ces lieux porteurs d’une mémoire collective. De juin 2025 à octobre 2026, l’auteur-compositeur et interprète rennais entame une tournée départementale jalonnée de lieux emblématiques de la mémoire industrielle d’Ille-et-Vilaine : les carrières de granit de Louvigné du désert ou encore les mines de brais de Vieux Vy sur Couesnon. Chaque concert de la tournée est pensé comme une immersion dans la mémoire des lieux à travers une découverte du site et des actions de médiation auprès des publics. Oscillant entre chanson, trip-hop et sonorités industrielles, François Audrain pose sa voix avec douceur sur des mélodies rock aux contrastes assumés, claires et obscures à la fois. Dans une forme à la fois intimiste et puissante, Melancholia fait résonner les récits enfouis de ceux qu’on appelait les « petites gens » — ouvriers, travailleurs, figures anonymes dont les vies ont façonné notre patrimoine.<br>François Audrain : voix, guitares<br>David Euverte : claviers<br>David Monceau : samples, machines, guitare<br>Daniel Paboeuf : saxophone baryton<br>Nicolas Courret : batterie<br>Partenariats : Département d’Ille-et-Vilaine, commune de Louvigné du désert, Communauté de communes de Val d’Ille Aubigné, commune de Vieux Vy sur Couesnon. Dimanche à Rennes - Tombées de la nuit.",,,2025-07-25T09:05:53+02:00,"Dimanche 21 septembre, 17h00",2025-09-21T17:00:00+02:00,2025-09-21T18:00:00+02:00,2025-09-21T17:00:00+02:00,2025-09-21T18:00:00+02:00,,,78599250,"48.128973, -1.693851",Archives départementales d'Ille et Vilaine,"1 Rue Jacques Léonard, 35000 Rennes, France",Quartiers Nord-Ouest,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,https://archives.ille-et-vilaine.fr,https://www.facebook.com/archives35/,Archives,,,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
44813186,https://openagenda.com/jep/events/exposition-claude-bessou-lillusionniste,"Exposition « Claude Bessou, l’illusionniste »","Claude Bessou, scénographe réputé, a concentré son travail autour du théâtre, en particulier au sein du Centre dramatique de l’Ouest (CDO), devenu par la suite Comédie de l’Ouest où il œuvre au de Il…","Claude Bessou, scénographe réputé, a concentré son travail autour du théâtre, en particulier au sein du Centre dramatique de l’Ouest (CDO), devenu par la suite Comédie de l’Ouest où il œuvre au mouvement de démocratisation culturelle qui marque les années 1950-1970. Il y réalise de très nombreux décors de théâtre.<br>Un fonds d’archives témoignant de l’œuvre de Claude Bessou a fait l’objet d’un don aux Archives départementales en février 2025. Le fonds regroupe quarante-huit maquettes de décors de théâtre et des documents originaux (dessins, illustrations, photographies).<br>Grâce à cette exposition, vous pourrez découvrir plusieurs maquettes et dessins originaux de Claude Bessou. La donatrice, Mme Clara Bessou, commentera l’œuvre de son père et présentera l’ouvrage qu’elle lui a consacré.","Salle du service éducatif. 
L’exposition sera visible du 17 au 24 septembre, de 13h30 à 17h30.",,2025-07-25T10:58:06+02:00,20 et 21 septembre,2025-09-20T13:30:00+02:00,2025-09-20T18:00:00+02:00,2025-09-21T13:30:00+02:00,2025-09-21T18:00:00+02:00,,,78599250,"48.128973, -1.693851",Archives départementales d'Ille et Vilaine,"1 Rue Jacques Léonard, 35000 Rennes, France",Quartiers Nord-Ouest,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,https://archives.ille-et-vilaine.fr,https://www.facebook.com/archives35/,Archives,,,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
27559771,https://openagenda.com/jep/events/passion-mysteres-et-stromboli-visites-decalees-du-theatre-de-ladec,"Passion, mystères & Stromboli : Visites décalées du Théâtre de l'ADEC","Au 45 rue Papu, il existe depuis 1925 un lieu étonnant où l'on s'amuse, on découvre, on crée, on joue, on s'émerveille, on s'émancipe...","Au 45 rue Papu, il existe depuis 1925 un lieu étonnant où l'on s'amuse, on découvre, on crée, on joue, on s'émerveille, on s'émancipe...<br>Un lieu qui a connu plusieurs vies : salle des fêtes St Gabriel, cinéma Le Régent après guerre puis scène associative entièrement dédiée au théâtre amateur.<br>Pour les 100 ans de ce bâtiment de notre patrimoine local, témoin de la vie culturelle rennaise et du quartier Bourg l'Evêque, on vous embarque dans un parcours théâtral inédit. 
 Une création pétillante orchestrée par l'autrice et metteuse en scène Clara-Luce Pueyo (Compagnie Collector) avec un groupe amateur intergénérationnel prêt à vous dévoiler les petits secrets et la grande aventure de ce théâtre aux personnages insolites !<br><em>Organisé par l’ADEC-Maison du Théâtre Amateur, en partenariat avec les Archives municipales de Rennes et les Tombées de la Nuit dans le cadre de Dimanche à Rennes.</em>","Plusieurs départs : 14h, 15h30, 17h, 18h30 - Durée 40 minutes.",,2025-07-25T11:17:24+02:00,"Dimanche 21 septembre, 14h00",2025-09-21T14:00:00+02:00,2025-09-21T18:30:00+02:00,2025-09-21T14:00:00+02:00,2025-09-21T18:30:00+02:00,mi,handicap moteur,69238507,"48.110768, -1.69391",ADEC - Maison du théâtre amateur,"45 Rue Papu, 35000 Rennes, France",Bourg l'Évesque - La Touche - Moulin du Comte,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,https://adec-theatre-amateur.fr,,,"Regroupés au sein du mouvement associatif de l’A.D.E.C. (Art Dramatique Expression Culture) depuis 1970, les praticiens amateurs de théâtre ont décidé de mettre en commun des livres, du matériel, des costumes ainsi que des moyens de mettre en place des formations et des rencontres avec des professionnels, dans un esprit d’éducation populaire, de cultures partagées et d’exigence artistique. Fort de ce mouvement, l’ADEC, avec sa Maison du théâtre amateur de Rennes, s’est imposée comme le premier centre de ressources d’Ille-et-Vilaine. Composée d’un théâtre, d’une bibliothèque théâtrale de prêt et d’une équipe professionnelle, l’ADEC accompagne, développe et valorise le théâtre des amateurs sur le territoire du département et de la Bretagne. Le bâtiment moderne construit en 1925 par Gabrielle Monnier est inscrit au Patrimoine local de la Ville de Rennes. Il témoigne de 100 ans de vie culturelle : théâtre de patronage, cinéma de quartier puis lieu dédié au théâtre amateur.","Accès PMR. Transports à proximité : ligne 10, arrêt Vaneau, lignes C4, 11, 53, 54, 55, 56, arrêt Chèques Postaux, ligne C1 arrêt Horizons. Accès métro : Ligne B arrêt Mabilais (10 min à pied).",,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
75287640,https://openagenda.com/jep/events/marion-du-faouet-au-theatre,Marion du Faouët au théâtre,Une soirée à la redécouverte de notre matrimoine culturel local !,"Une soirée à la redécouverte de notre matrimoine culturel local !<br>2 août 1755, Marie-Louise Tromel, dite aussi Marie Finefont, connue sous le nom de Marion du Faouët ou la « catin aux cheveux rouges » est pendue à Quimper, place Saint-Corentin. Quels crimes a-t-elle commis ?<br>Pendant quinze ans, avec la bande de brigands de grands chemins qu'elle dirige, elle a sévi dans toute la Cornouaille: elle a volé des marchands au retour des foires, des artisans, des paysans aisés, des colporteurs. La légende en a fait un Robin-des-Bois féminin. Colette Cosnier en a fait une révoltée, une rebelle, une féministe. Car pour elle, son crime est aussi celui de la liberté et de la révolte.<br>Cette pièce de Colette Cosnier évoque la vie quotidienne au XVIIIe siècle en Bretagne et aborde les thèmes de la justice, de la liberté, de la place des femmes. 
 Colette Cosnier (La Flèche, 1936 - Rennes, 2016) est une écrivaine et professeure de littérature. Elle nous a laissé des pièces de théâtre, des romans, des essais, des biographies de femmes. En France, elle est la première à avoir, dès 1973, mis en place un cours entièrement consacré aux écrivaines à l'université Rennes 2. 
 Pour fêter la réédition de la pièce de théâtre ""Marion du Faouët, la catin aux cheveux rouges"" de Colette Cosnier aux éditions Goater, l'association Histoire du Féminisme à Rennes et l'ADEC proposent une soirée de rencontre, lectures et surprises. En présence de Brice Evain, Docteur en histoire Moderne à l'Université Rennes 2, et avec la complicité de lectrices et lecteurs amateurs ainsi que de la chorale Les Luttes Enchantées.<br><em>Organisée par l’ADEC-Maison du Théâtre Amateur en partenariat avec Histoire du Féminisme à Rennes et HF+Bretagne.</em>",,,2025-07-25T11:17:24+02:00,"Samedi 20 septembre, 18h30",2025-09-20T18:30:00+02:00,2025-09-20T20:00:00+02:00,2025-09-20T18:30:00+02:00,2025-09-20T20:00:00+02:00,mi,handicap moteur,69238507,"48.110768, -1.69391",ADEC - Maison du théâtre amateur,"45 Rue Papu, 35000 Rennes, France",Bourg l'Évesque - La Touche - Moulin du Comte,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,https://adec-theatre-amateur.fr,,,"Regroupés au sein du mouvement associatif de l’A.D.E.C. (Art Dramatique Expression Culture) depuis 1970, les praticiens amateurs de théâtre ont décidé de mettre en commun des livres, du matériel, des costumes ainsi que des moyens de mettre en place des formations et des rencontres avec des professionnels, dans un esprit d’éducation populaire, de cultures partagées et d’exigence artistique. Fort de ce mouvement, l’ADEC, avec sa Maison du théâtre amateur de Rennes, s’est imposée comme le premier centre de ressources d’Ille-et-Vilaine. Composée d’un théâtre, d’une bibliothèque théâtrale de prêt et d’une équipe professionnelle, l’ADEC accompagne, développe et valorise le théâtre des amateurs sur le territoire du département et de la Bretagne. Le bâtiment moderne construit en 1925 par Gabrielle Monnier est inscrit au Patrimoine local de la Ville de Rennes. Il témoigne de 100 ans de vie culturelle : théâtre de patronage, cinéma de quartier puis lieu dédié au théâtre amateur.","Accès PMR. Transports à proximité : ligne 10, arrêt Vaneau, lignes C4, 11, 53, 54, 55, 56, arrêt Chèques Postaux, ligne C1 arrêt Horizons. Accès métro : Ligne B arrêt Mabilais (10 min à pied).",,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
61728095,https://openagenda.com/jep/events/le-travail-a-lusine-les-sardinieres-dhier-et-daujourdhui-4108739,Le travail à l'usine : les sardinières d'hier et d'aujourd'hui,Comment les luttes et les conditions de travail ont-elles évolué dans les usines de conserverie entre 1905 et 2024 ?,"Dans <em>L’Usine Rouge</em> (1989), Marie Hélia interroge des ouvrières ayant connu la grande lutte de 1924. Liza Le Tonquer dans <em>Demain au boulot</em> (2024) nous raconte le travail à l’usine aujourd’hui, quand les langues lingala et baoulé se mêlent aux accents douarnenistes, à l’heure d’une mécanisation plus poussée et alors qu’une nouvelle grève s’annonce.<br>Projection suivie d’une rencontre avec <strong>Liza Le Tonquer</strong>, la réalisatrice. Dans le cadre des Journées européennes du Matrimoine et du Patrimoine.",gratuit,jemp,2025-08-09T07:25:59+02:00,"Dimanche 21 septembre, 16h00",2025-09-21T16:00:00+02:00,2025-09-21T18:00:00+02:00,2025-09-21T16:00:00+02:00,2025-09-21T18:00:00+02:00,mi,handicap moteur,75115809,"48.105118, -1.674703",Les Champs Libres - Salle de conférences,"10, cours des Alliés, 35000, Rennes",,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,https://www.leschampslibres.fr/,https://www.facebook.com/museebretagne/;https://www.instagram.com/museedebretagne/;https://twitter.com/museedebretagne,"Musée de France;Lieu de culture, spectacles, sports et loisirs","Structure culturelle hybride, les Champs Libres regroupent la Bibliothèque de Rennes Métropole, le Musée de Bretagne, la salle de conférences Hubert Curien et la salle d'expositions Anita Conti, et l'Espace des sciences.",,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
2386179,https://openagenda.com/jep/events/josephine-pencalet-lelection-interdite-9015338,"Joséphine Pencalet, l'élection interdite","**Fanny Bugnon**, historienne à l'Université de Rennes 2, dresse le portrait de Joséphine Pencalet, sardinière et première femme élue en Bretagne en 1925.","Joséphine Pencalet fait partie des ouvrières, qui en 1924, ont participé à la grève de Douarnenez. En 1925, elle est élue alors même que les femmes n'ont pas encore le droit de vote. L'élection est invalidée et Joséphine Pencalet tombe dans l'oubli pendant plusieurs décennies. À travers son portrait, c'est le destin de toutes les ouvrières, militantes, pionnières et courageuses, qui nous est rappelé.<br>Une rencontre&nbsp;suivie d'une séance de dédicaces,&nbsp;en partenariat avec <strong>Bretagne Culture Diversité</strong>. Dans le cadre des Journées européennes du Matrimoine et du Patrimoine.&nbsp;   
 <strong>Fanny Bugnon</strong>, est maîtresse de conférences en histoire contemporaine et études sur le genre à l’université Rennes 2. Elle est lauréate en 2024 du&nbsp;Prix du livre d'histoire en Bretagne pour son ouvrage : <em>L'élection interdite, Itinéraire de Joséphine Pencalet, ouvrière bretonne (1886-1972)</em>, édition du Seuil.",Gratuit,jemp,2025-08-09T07:26:01+02:00,"Samedi 20 septembre, 15h00",2025-09-20T15:00:00+02:00,2025-09-20T16:30:00+02:00,2025-09-20T15:00:00+02:00,2025-09-20T16:30:00+02:00,mi,handicap moteur,75115809,"48.105118, -1.674703",Les Champs Libres - Salle de conférences,"10, cours des Alliés, 35000, Rennes",,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,https://www.leschampslibres.fr/,https://www.facebook.com/museebretagne/;https://www.instagram.com/museedebretagne/;https://twitter.com/museedebretagne,"Musée de France;Lieu de culture, spectacles, sports et loisirs","Structure culturelle hybride, les Champs Libres regroupent la Bibliothèque de Rennes Métropole, le Musée de Bretagne, la salle de conférences Hubert Curien et la salle d'expositions Anita Conti, et l'Espace des sciences.",,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
28006794,https://openagenda.com/jep/events/sncf-reseau-decouvrez-le-centre-operationnel-de-gestion-des-circulation-de-rennes,SNCF Réseau : Découvrez le Centre Opérationnel de Gestion des Circulations de Rennes,"À l’occasion des Journées Européennes du Patrimoine, le COGC de Rennes vous ouvre exceptionnellement ses portes.","À l’occasion des Journées Européennes du Patrimoine, le COGC de Rennes vous ouvre exceptionnellement ses portes.<br>Rencontrez les régulateurs et Chefs Circulation, ces professionnels passionnés qui assurent chaque jour la circulation et la régulation des trains en toute sécurité.<br><strong>Au programme :</strong><br>• Présentation du métier de régulateur, Chef Circulation<br>• Découverte des installations techniques (Tour de contrôle ferroviaire)<br>• Échanges avec les agents SNCF Réseau<br><strong>Une immersion unique au cœur des infrastructures ferroviaires !</strong>","En cas d'incidents sur le réseau, les visites sont susceptibles d’être suspendues. Inscription sur https://affluences.com à partir du mardi 2 septembre à 12h. Rendez-vous sur https://patrimoine.sncf.com pour retrouver le programme complet des JEP SNCF",,2025-08-28T22:36:37+02:00,20 et 21 septembre,2025-09-20T10:00:00+02:00,2025-09-20T11:00:00+02:00,2025-09-21T16:00:00+02:00,2025-09-21T17:00:00+02:00,,,85290869,"48.103625, -1.674272",COGC de Rennes,22 Boulevard de Beaumont 35000 Rennes,Thabor - Saint-Hélier - Alphonse Guérin,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,,,"Édifice industriel, scientifique et technique;Patrimoine ferroviaire, des transports et du génie civil",,,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
71599290,https://openagenda.com/jep/events/visite-des-reserves-de-la-bibliotheque-6469260,Visite des réserves de la bibliothèque,La Bibliothèque ouvre exceptionnellement les portes de ses réserves et  vous invite au cœur des collections patrimoniales.,"Découverte des coulisses d’un lieu et des dessous d’un métier avec Sarah Toulouse, conservatrice du fonds patrimonial.","gratuit - Inscription sur place à la billetterie des Champs Libres, dans la limite des places disponibles",jemp,2025-08-29T15:54:08+02:00,20 et 21 septembre,2025-09-20T14:30:00+02:00,2025-09-20T15:30:00+02:00,2025-09-21T17:30:00+02:00,2025-09-21T18:30:00+02:00,mi,handicap moteur,97888086,"48.104578, -1.673943",Les Champs libres - Bibliothèque de Rennes Métropole,"46 Boulevard Magenta, 35000, Rennes",,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,http://www.bibliotheque.leschampslibres.fr/,https://www.facebook.com/LesChampsLibres/,"Lieu de culture, spectacles, sports et loisirs","Bibliothèque de Rennes Métropole

Structure culturelle hybride, les Champs Libres regroupent la Bibliothèque de Rennes Métropole, le Musée de Bretagne, la salle de conférences Hubert Curien et la salle d'expositions Anita Conti, et l'Espace des sciences.",gratuit,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
62849736,https://openagenda.com/jep/events/decouverte-guidee-de-lhistoire-des-collections-pedagogiques-du-lycee-zola,Découverte guidée de l'histoire et des collections pédagogiques,Visite guidée qui présente l'histoire de l'établissement depuis 1536.,"Visite guidée qui présente l'histoire de l'établissement depuis 1536.<br>Seront présentés les instruments de physique, planches de sciences naturelles du XIX siècle, livres anciens, salle de chimie de1886.<br>Les techniques de restauration de planches anciennes de sciences naturelles et de livres seront décrites par des spécialistes.","La visite dure 2 h. Deux visites le matin, à 9h30 et 10h30 et une l'après midi, à 14h30, adaptée aux PMR ; Chaque visite est limitée à 20 personnes. COMPLET POUR LES DEUX JOURS",,2025-09-03T10:24:36+02:00,20 et 21 septembre,2025-09-20T09:30:00+02:00,2025-09-20T12:45:00+02:00,2025-09-21T14:30:00+02:00,2025-09-21T16:30:00+02:00,mi,handicap moteur,62423861,"48.10868, -1.675025",Lycée Emile Zola - Rennes,2 avenue janvier 35000 Rennes,Thabor - Saint-Hélier - Alphonse Guérin,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,,https://amelycor.fr/index.php/fr/patrimoine-bati,Édifice scolaire et éducatif,,,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
90473293,https://openagenda.com/jep/events/visitas-guiadas-a-la-iglesia-de-notre-dame-en-saint-melaine,Visites guidées de l'église Notre-Dame-en-Saint-Melaine,Cette ancienne abbatiale du monastère de Saint-Melaine va connaître une phase de travaux importante.,"Cette ancienne abbatiale du monastère de Saint-Melaine a connu une phase de travaux importante. Une intervention prioritaire a été engagée sur les quatre collatéraux : restauration et reprise structurelle des charpentes bois, remplacement des ardoises et reprises de maçonnerie associées à la charpente.<br>La restauration et la mise en valeur de cet élément patrimonial majeur dans l’histoire de Rennes, s’accompagne d’une préservation des martinets noirs et du patrimoine végétal jouxtant l’édifice.",,,2025-09-03T15:20:54+02:00,20 et 21 septembre,2025-09-20T10:00:00+02:00,2025-09-20T11:00:00+02:00,2025-09-21T15:00:00+02:00,2025-09-21T16:00:00+02:00,,,18742751,"48.114743, -1.673777",Église Notre-Dame-en-Saint-Mélaine,"Place Saint-Melaine, 35000 Rennes, France",Quartiers Centre,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,https://www.notredamedebonnenouvelle.com,,Édifice religieux;Monument historique,"L'abbaye, dont la fondation remonte au VIe siècle, est la plus ancienne du département et l'une des plus importantes de l'ouest de la France entre le XIe siècle et la Révolution. Cette longue histoire, qui débute à proximité du lieu de sépulture de Mélaine, ancien évêque de Rennes, est marquée notamment par l’œuvre des Bénédictins à partir de 1030 et des Mauristes au XVIIe siècle. Les témoignages architecturaux qui subsistent aujourd'hui sont principalement l'aile ouest des bâtiments conventuels qui abrita un hôpital de 1793 à 1939 ; une galerie du cloître mauriste adossée à l'édifice précédent ; l'ancien logis abbatial devenu palais épiscopal au XVIIIe siècle puis bâtiment administratif à partir de 1905 ; l'église, édifice complexe représentant un concentré d'évolution architecturale depuis le haut Moyen Age jusqu'au XIXe siècle.",,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
36716342,https://openagenda.com/jep/events/visita-guiada-al-parlamento-de-bretana-5026327,Visite guidée du Parlement de Bretagne,Visite guidée du Parlement de Bretagne,"Ce symbole de la Bretagne, conçu au XVIIe siècle par l'architecte du palais du Luxembourg, Salomon de Brosse, est encore aujourd'hui un lieu de pouvoir, abritant la cour d'appel de Rennes. Brûlé en 1994, il est depuis restauré et ouvert à la visite.",Entrée libre sur place le jour même,,2025-09-03T15:27:54+02:00,20 et 21 septembre,2025-09-20T09:30:00+02:00,2025-09-20T12:30:00+02:00,2025-09-21T13:30:00+02:00,2025-09-21T18:00:00+02:00,mi,handicap moteur,22492737,"48.111748, -1.677823",Parlement de Bretagne,"Place du parlement de Bretagne, 35000 Rennes",,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,,,"Lieu de pouvoir, édifice judiciaire;Monument historique","Édifice majeur du patrimoine rennais, dessiné par Salomon de Brosse, il révèle une page unique de l’art architectural et pictural du XVIIe siècle français et de l’histoire de la Bretagne. Brûlé en 1994, il est aujourd’hui restauré et ouvert à la visite.",,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
39687088,https://openagenda.com/jep/events/visitas-guiadas-al-hotel-de-courcy-2040439,Visites guidées de l'hôtel de Courcy,Visite guidée de l'hôtel de Courcy,"L’hôtel de Courcy - Salle des assemblées du Conseil Régional<br>XIXe siècle<br>Construit vers 1830 par l’architecte Louis Richelot, cet hôtel particulier inspiré des villas palladiennes est rythmé par des colonnes à chapiteaux ioniques et doté d’un belvédère à ferronnerie épurée.<br>Il a bénéficié d’une restauration suite à son acquisition par le Conseil Régional en 1983.",Durée de la visite : 1h30 / Inscription en ligne - sur place le jour même,,2025-09-04T16:18:16+02:00,20 et 21 septembre,2025-09-20T10:00:00+02:00,2025-09-20T12:00:00+02:00,2025-09-21T14:00:00+02:00,2025-09-21T17:00:00+02:00,,,29910204,"48.112224, -1.672739",Ancien Hôtel de Courcy - Conseil Régional de Bretagne,"8 rue Martenot, 35000, Rennes",Thabor - Saint-Hélier - Alphonse Guérin,35238,35708,Rennes,Bretagne,Ille-et-Vilaine,FR,,https://www.pop.culture.gouv.fr/notice/merimee/PA00090692;https://www.bretagne.bzh/app/uploads/09_2020_Plaquette_Courcy.pdf,"Monument historique;Villes et Pays d'art et d'histoire;Château, hôtel urbain, palais, manoir;Lieu de pouvoir, édifice judiciaire","Construit vers 1830 par l'architecture Louis Richelot, cet hôtel particulier, inspiré des villas palladiennes est rythmé par des colonnes à chapiteaux ioniques et doté d'un belvédère à ferronnerie épurée. Il a bénéficié d'une restauration, suite à son acquisition par le Conseil Régional en 1983. 
Hôtel néo-classique qui comporte un rez-de-chaussée, un étage noble et un attique surmonté d'un fronton. Cette construction rectangulaire est ouverte sur une cour avec une façade qui, au premier étage, est couronnée d'une balustrade prolongeant celle de la colonnade ionique. A l'intérieur, certaines pièces conservent des boiseries. Le plafond du vestibule d'entrée est orné d'une fresque.",,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
89058973,https://openagenda.com/jep/events/pique-nique-musical-au-chateau-de-la-villedubois,Pique-nique musical au Château de la Villedubois,"Venez profiter d'un parc inscrit aux Monuments Historiques, autour d'un pique nique.","Venez profiter d'un parc inscrit aux Monuments Historiques, autour d'un pique nique.<br>Prenez votre nécessaire à pique-nique et venez vous installer pour profiter de la vue. Vous pourrez ensuite déambuler librement dans un parc arboré d'une dizaine d'hectares.",inscription sur notre site web,,2025-09-04T21:33:01+02:00,"Samedi 20 septembre, 12h00",2025-09-20T12:00:00+02:00,2025-09-20T15:00:00+02:00,2025-09-20T12:00:00+02:00,2025-09-20T15:00:00+02:00,,,9173611,"48.092328, -1.844233",Chateau de la Villedubois,La Villedubois 35310 Mordelles,,35196,35310,Mordelles,Bretagne,Ille-et-Vilaine,FR,http://www.chateaudelavilledubois.com,https://www.instagram.com/chateau_de_la_villedubois/;https://pop.culture.gouv.fr/notice/merimee/IA00007852;https://www.demeure-historique.org/collectes/chateau-de-la-villedubois/,"Monument historique;Château, hôtel urbain, palais, manoir;Espace naturel, parc, jardin","1647, Jacques Annibal de Farcy de Farcy achète La Villedubois. Depuis, ce sont 13 générations de Farcy qui font vivre cette propriété familiale, berceau de tant d'anecdotes bretonnes.",,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
62636809,https://openagenda.com/jep/events/lhotel-de-bizien,"L'hôtel de Bizien, actuel Tribunal administratif","Construit au début du 18e siècle par l’architecte Gerbier de Vaulogé, l’édifice abritait à l’origine trois appartements, avant de devenir au début du 20e siècle la résidence de l’archevêque. Il 1997,…","Construit au début du 18e siècle par l’architecte Gerbier de Vaulogé, l’édifice abritait à l’origine trois appartements, avant de devenir au début du 20e siècle la résidence de l’archevêque. Il accueille, depuis 1997, le tribunal administratif.",,,2025-09-04T21:33:40+02:00,"Samedi 20 septembre, 13h30",2025-09-20T13:30:00+02:00,2025-09-20T17:00:00+02:00,2025-09-20T13:30:00+02:00,2025-09-20T17:00:00+02:00,,,53905015,"48.112756, -1.675627",Ancien hôtel de Bizien,3 Contour de la Motte 35000 Rennes,Centre,35238,35000,Rennes,Bretagne,Ille-et-Vilaine,FR,,https://rennes.tribunal-administratif.fr/qui-sommes-nous/histoire-et-patrimoine/histoire-du-batiment,"Monument historique;Villes et Pays d'art et d'histoire;Architecture civile publique;Château, hôtel urbain, palais, manoir;Lieu de pouvoir, édifice judiciaire",,,,,,Journées européennes du patrimoine 2025 : Bretagne,8474967,,France (Métropole)
