Identifiant,URL canonique,Titre,Description,Détail des conditions,Mots clés,Dernière mise à jour,Résumé horaires,Première date - Début,Première date - Fin,Dernière date - Début,Dernière date - Fin,Horaires détaillés,Accessibilité,Identifiant du lieu,Coordonnées géographiques,Nom du lieu,Adresse,Arrondissement,Code INSEE,Code postal,Ville,Région,Département,Pays,Site web du lieu,Liens du lieu,Tags du lieu,Description du lieu,Accès / Itinéraire,Lien d'accès en ligne,Age minimum,Age maximum,Agenda d'origine (uid),Nom du pays
50679754,https://openagenda.com/nuitlecture-2022/events/apero-ludique-and-repas-partage-8633773,Annulé | Apéro ludique & repas partagé,Moment de convivialité entre les animations de l'après-midi et le spectacle du soir.,,,2022-01-19T13:36:11+00:00,"Samedi 22 janvier 2022, 18h30",2022-01-22T17:30:00+00:00,2022-01-22T19:30:00+00:00,2022-01-22T17:30:00+00:00,2022-01-22T19:30:00+00:00,"[{""begin"": ""2022-01-22T18:30:00+01:00"", ""end"": ""2022-01-22T20:30:00+01:00""}]",,15765044,"48.1465, -1.773367",Médiathèque de Pacé,Chemin de la Métairie 35740 Pacé,,35210,35740,Pacé,Bretagne,Ille-et-Vilaine,FR,https://www.mediatheque-pace.fr/,https://www.facebook.com/mediathequepace,Bibliothèque / Médiathèque,,Parkings à proximité,,,,1377046,France (Métropole)
32521294,https://openagenda.com/nuitlecture-2022/events/nuit-de-la-lecture-6842595,La Cabane à Lire,Les Nuits de la lecture auront lieu à la médiathèque Le Tempo à Vezin Le Coquet le vendredi 28 Janvier de 16h à 21h.,,,2022-01-03T14:09:36+00:00,"Vendredi 21 janvier 2022, 16h00",2022-01-21T15:00:00+00:00,2022-01-21T17:00:00+00:00,2022-01-21T15:00:00+00:00,2022-01-21T17:00:00+00:00,"[{""begin"": ""2022-01-21T16:00:00+01:00"", ""end"": ""2022-01-21T18:00:00+01:00""}]",,62996410,"48.118145, -1.756502",Médiathèque Le Tempo,11 contour de l'église 35132 Vezin-le-Coquet,,35353,35132,Vezin-le-Coquet,Bretagne,Ille-et-Vilaine,FR,http://mediatheque-vezinlecoquet.fr,,Bibliothèque / Médiathèque,"La médiathèque Le Tempo est un 3ème lieu. On y propose l'accès à différentes collections pour les plus jeunes et les adultes, différents services dont du numérique et une série d'animations : concerts, conférences, expositions...","Parking gratuit, ligne de bus 53",,2,5,1377046,France (Métropole)
97349369,https://openagenda.com/nuitlecture-2022/events/festival-de-lecture-a-voix-haute-9986882,Festival de lecture à voix haute,Des lectures à voix haute d’extraits de romans réalisées par l’auteur(e) accompagné(e) d’un(e) comédien(ne) et d’un(e) musicien(ne) professionnel(le)s dans différents lieux de la commune,,,2024-06-26T09:15:13+00:00,"Samedi 22 janvier 2022, 15h00, 16h00",2022-01-22T14:00:00+00:00,2022-01-22T15:00:00+00:00,2022-01-22T15:00:00+00:00,2022-01-22T16:00:00+00:00,"[{""begin"": ""2022-01-22T15:00:00+01:00"", ""end"": ""2022-01-22T16:00:00+01:00""}, {""begin"": ""2022-01-22T16:00:00+01:00"", ""end"": ""2022-01-22T17:00:00+01:00""}]",handicap moteur,41519896,"48.237845, -1.304887",L'espace culturel,Rue des écoles,,35170,35450,Mecé,Bretagne,Ille-et-Vilaine,FR,,,,,,,16,99,1377046,France (Métropole)
14754103,https://openagenda.com/nuitlecture-2022/events/larene-declame-lecture-aux-multiples-voix-par-lequipe-de-charlie-freslon,ANNULE - L'Arène déclame!  -  Lecture aux multiples voix par l'équipe de Charlie Freslon,"Lecture à plusieurs voix sir le thème ""Aimons toujours! Aimons encore!""",,,2022-01-19T09:04:12+00:00,"Vendredi 21 janvier 2022, 11h00",2022-01-21T10:00:00+00:00,2022-01-21T10:30:00+00:00,2022-01-21T10:00:00+00:00,2022-01-21T10:30:00+00:00,"[{""begin"": ""2022-01-21T11:00:00+01:00"", ""end"": ""2022-01-21T11:30:00+01:00""}]",,57089695,"48.120719, -1.701679",Bibliothèque Universitaire Rennes 2,Place du Recteur Henri Le Moal,Villejean - Beauregard,35238,35043,Rennes,Bretagne,Ille-et-Vilaine,FR,https://www.bu.univ-rennes2.fr/,,Bibliothèque universitaire,,,,,,1377046,France (Métropole)
80303572,https://openagenda.com/nuitlecture-2022/events/nocturne-a-la-mediatheque-6212812,Nocturne à la médiathèque,Une nocturne à la médiathèque entre jeux et contes pour tous,12 places,,2022-01-20T09:21:51+00:00,"Vendredi 21 janvier 2022, 18h45",2022-01-21T17:45:00+00:00,2022-01-21T18:45:00+00:00,2022-01-21T17:45:00+00:00,2022-01-21T18:45:00+00:00,"[{""begin"": ""2022-01-21T18:45:00+01:00"", ""end"": ""2022-01-21T19:45:00+01:00""}]",handicap moteur,43031120,"47.9953, -1.668678",Médiathèque d'Orgères,5 place de l'Église 35230 Orgères,,35208,35230,Orgères,Bretagne,Ille-et-Vilaine,FR,https://www.orgeres.fr/,https://www.facebook.com/orgeres/,Bibliothèque / Médiathèque;Première participation,Médiathèque d'Orgères,"Parking, Bus",,7,121,1377046,France (Métropole)
13087836,https://openagenda.com/nuitlecture-2022/events/quizz-6-12-ans,Quizz 6-12 ans,Les Nuits de la lecture auront lieu à la médiathèque Le Tempo à Vezin Le Coquet le vendredi 28 Janvier de 16h à 21h.,,,2022-01-03T14:09:06+00:00,"Vendredi 21 janvier 2022, 19h00",2022-01-21T18:00:00+00:00,2022-01-21T18:30:00+00:00,2022-01-21T18:00:00+00:00,2022-01-21T18:30:00+00:00,"[{""begin"": ""2022-01-21T19:00:00+01:00"", ""end"": ""2022-01-21T19:30:00+01:00""}]",,62996410,"48.118145, -1.756502",Médiathèque Le Tempo,11 contour de l'église 35132 Vezin-le-Coquet,,35353,35132,Vezin-le-Coquet,Bretagne,Ille-et-Vilaine,FR,http://mediatheque-vezinlecoquet.fr,,Bibliothèque / Médiathèque,"La médiathèque Le Tempo est un 3ème lieu. On y propose l'accès à différentes collections pour les plus jeunes et les adultes, différents services dont du numérique et une série d'animations : concerts, conférences, expositions...","Parking gratuit, ligne de bus 53",,6,12,1377046,France (Métropole)
72587130,https://openagenda.com/nuitlecture-2022/events/cine-jeux,Ciné-jeux,Venez découvrir de jeux-vidéos en mode ciné jeu.,,,2022-01-15T14:36:01+00:00,"Samedi 22 janvier 2022, 21h00",2022-01-22T20:00:00+00:00,2022-01-22T21:00:00+00:00,2022-01-22T20:00:00+00:00,2022-01-22T21:00:00+00:00,"[{""begin"": ""2022-01-22T21:00:00+01:00"", ""end"": ""2022-01-22T22:00:00+01:00""}]",,26534363,"48.044383, -1.605707",Mediathèque Le Volume,3 rue François Rabelais 35770 Vern-sur-Seiche,,35352,35770,Vern-sur-Seiche,Bretagne,Ille-et-Vilaine,FR,https://mediatheque.vernsurseiche.fr/,https://fr-fr.facebook.com/levolume.vernsurseiche/,Bibliothèque / Médiathèque;Ouverture exceptionnelle;Première participation,"Le Volume – Centre culturel de Vern-sur-Seiche : une médiathèque, une école de musique et de danse (Le SUET), une salle d’exposition, des espaces de diffusion, de création, de rencontres…","Parking, bus, accessible PMR.",,11,99,1377046,France (Métropole)
88448081,https://openagenda.com/nuitlecture-2022/events/exposition-de-vos-textes-preferes-,Exposition de vos textes préférés ! (Du 08/01 au 22/01),Exposition de vos textes sur le thème de l'amour,Textes à déposer à la médiathèque jusqu’au mercredi 6 janvier,,2021-11-24T17:15:39+00:00,21 et 22 janvier 2022,2022-01-21T14:00:00+00:00,2022-01-21T17:00:00+00:00,2022-01-22T13:00:00+00:00,2022-01-22T20:00:00+00:00,"[{""begin"": ""2022-01-21T15:00:00+01:00"", ""end"": ""2022-01-21T18:00:00+01:00""}, {""begin"": ""2022-01-22T10:00:00+01:00"", ""end"": ""2022-01-22T12:30:00+01:00""}, {""begin"": ""2022-01-22T14:00:00+01:00"", ""end"": ""2022-01-22T21:00:00+01:00""}]",,62839360,"48.076249, -1.839967",Médiathèque de Mordelles,85 avenue du maréchal Leclerc 35310 Mordelles,,35196,35310,Mordelles,Bretagne,Ille-et-Vilaine,FR,https://mediatheque.ville-mordelles.fr/,,Bibliothèque / Médiathèque,Médiathèque municipale,"Bus 55 (arrêt Lilas), parking",,12,99,1377046,France (Métropole)
69966675,https://openagenda.com/nuitlecture-2022/events/atelier-de-creation-de-doudous,Atelier de création de doudous,Venez réaliser vos propres doudous à partir de gants et de boutons,,,2021-11-25T17:01:08+00:00,"Samedi 22 janvier 2022, 14h00",2022-01-22T13:00:00+00:00,2022-01-22T15:00:00+00:00,2022-01-22T13:00:00+00:00,2022-01-22T15:00:00+00:00,"[{""begin"": ""2022-01-22T14:00:00+01:00"", ""end"": ""2022-01-22T16:00:00+01:00""}]",,15765044,"48.1465, -1.773367",Médiathèque de Pacé,Chemin de la Métairie 35740 Pacé,,35210,35740,Pacé,Bretagne,Ille-et-Vilaine,FR,https://www.mediatheque-pace.fr/,https://www.facebook.com/mediathequepace,Bibliothèque / Médiathèque,,Parkings à proximité,,,,1377046,France (Métropole)
27317066,https://openagenda.com/nuitlecture-2022/events/une-page-damour,Une page d'amour,"Dans le cadre des Nuits de le Lecture, l'association des Amis de L'Autre Lieu vous concocte un programme de lectures à voix haute","Gratuit, sur réservation.",,2021-12-01T14:57:18+00:00,"Samedi 22 janvier 2022, 17h30",2022-01-22T16:30:00+00:00,2022-01-22T18:30:00+00:00,2022-01-22T16:30:00+00:00,2022-01-22T18:30:00+00:00,"[{""begin"": ""2022-01-22T17:30:00+01:00"", ""end"": ""2022-01-22T19:30:00+01:00""}]",,74875274,"48.100672, -1.793768",Médiathèque L'Autre Lieu,8 rue du Docteur Wagner 35650 Le Rheu,,35240,35650,Le Rheu,Bretagne,Ille-et-Vilaine,FR,http://lerheu.fr,,Bibliothèque / Médiathèque,,,https://www.billetweb.fr/une-page-damour,6,99,1377046,France (Métropole)
40822312,https://openagenda.com/nuitlecture-2022/events/rencontre-dedicace-286158,Rencontre dédicace avec Georges Guitton et Didier Desbrugères,Deux auteurs à découvrir,,,2021-12-06T08:48:16+00:00,"Samedi 22 janvier 2022, 10h30",2022-01-22T09:30:00+00:00,2022-01-22T11:00:00+00:00,2022-01-22T09:30:00+00:00,2022-01-22T11:00:00+00:00,"[{""begin"": ""2022-01-22T10:30:00+01:00"", ""end"": ""2022-01-22T12:00:00+01:00""}]",,59533304,"48.11951, -1.604676",Médiathèque de Cesson-Sévigné,Parc de Bourgchevreuil 35510 Cesson-Sévigné,,35051,35510,Cesson-Sévigné,Bretagne,Ille-et-Vilaine,FR,https://www.mediatheque-cesson-sevigne.fr,https://www.facebook.com/M%C3%A9diath%C3%A8que-de-la-ville-de-Cesson-S%C3%A9vign%C3%A9-105126396285906/,Bibliothèque / Médiathèque;Horaires étendus;Ouverture exceptionnelle,"Située au cœur du parc Bourgchevreuil, la médiathèque est au rez-de-chaussée du centre culturel Pont des arts.
Elle est ouverte à tous et vous pouvez la fréquenter sans être inscrit.
Vous pouvez emprunter livres, revues, partitions, CD, DVD, et assister gratuitement aux animations pour tous les âges.","Parking, gare et bus C6 et 31 à proximité.",,,,1377046,France (Métropole)
2007269,https://openagenda.com/nuitlecture-2022/events/lampes-de-poche-et-cie,Lampes de poche et Cie,"Petits et grands, venez avec une lampe de poche, vos chaussons, un oreiller et, accessoirement, votre doudou, pour vous installer dans un petit coin cosy.","Jauge limitée. Prévoir une lampe de poche, un oreiller et ses chaussons",,2021-11-24T13:55:00+00:00,"Vendredi 21 janvier 2022, 17h00",2022-01-21T16:00:00+00:00,2022-01-21T20:00:00+00:00,2022-01-21T16:00:00+00:00,2022-01-21T20:00:00+00:00,"[{""begin"": ""2022-01-21T17:00:00+01:00"", ""end"": ""2022-01-21T21:00:00+01:00""}]",,30810537,"48.019367, -1.706713",Médiathèque de Pont Péan,18 route de Nantes 35131 Pont-Péan,,35363,35131,Pont-Péan,Bretagne,Ille-et-Vilaine,FR,https://www.mediathequepontpean.fr/,,Bibliothèque / Médiathèque;Première participation;Horaires étendus,Médiathèque,"Parking, bus 72 et 79",,3,99,1377046,France (Métropole)
